number;letter;file type;conforms?;validation result
1;a;CSV;True;
1;a;XML;True;
1;a;MySQL;True;
1;a;PostgreSQL;True;
1;a;JSON;True;
1;a;SPARQL;fout
1;a;SQLServer;True;
1;b;CSV;True;
1;b;XML;True;
1;b;MySQL;True;
1;b;PostgreSQL;True;
1;b;JSON;True;
1;b;SPARQL;fout
1;b;SQLServer;True;
2;a;CSV;True;
2;a;XML;True;
2;a;MySQL;True;
2;a;PostgreSQL;True;
2;a;JSON;True;
2;a;SPARQL;fout
2;a;SQLServer;True;
2;b;CSV;True;
2;b;XML;True;
2;b;MySQL;True;
2;b;PostgreSQL;True;
2;b;JSON;True;
2;b;SPARQL;fout
2;b;SQLServer;True;
