Tool,run1,run2,run3,run4,run5
RML2SHACL,32.119,32.611,32.134,31.612,32.146
SHACLGEN-100pc,3.813,3.837,3.950,3.859,3.977
SHACLGEN-500pc,21.459,20.470,20.822,20.664,19.822
SHACLGEN-1000pc,43.017,43.680,42.984,42.902,42.822
SHACLGEN-1500pc,67.891,78.415,70.222,73.794,65.521
SHACLGEN-2000pc,85.328,87.169,87.488,87.827,85.879
SHACLGEN-2500pc,110.752,106.859,126.359,123.341,127.356
SHACLGEN-3000pc,130.453,133.051,128.691,130.940,133.431
SHACLGEN-3500pc,164.203,169.021,169.792,163.603,166.384
SHACLGEN-4000pc,192.152,187.744,196.583,197.824,197.841
SHACLGEN-4500pc,216.733,216.724,225.942,220.439,216.234
SHACLGEN-5000pc,314.942,287.867,292.361,266.687,272.594
